file,nomSociete,evaluation,capitalDetenu,nombreParts,remuneration
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI         [Données non publiées],787693,51,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI         [Données non publiées],3213822,94,900,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],4168788,85,20,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],143437,100,500,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],1525,100,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],33459,100,60,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],68101,100,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],246602,50,20,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],183949,55,160,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI         [Données non publiées],273794,34,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI         [Données non publiées],1358278,80,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI         [Données non publiées],2555702,100,200,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],39145,70,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],442082,80,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],532282,100,10,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],0,100,15000,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],1036474,100,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],5184963,62,1000,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SAS ARCHE,300000000,100,34096445,SALAIRE 98.253 € NET EN QUALITE DE PRESIDENT DE LA SAS
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI         [Données non publiées],501,50,100000,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCI          [Données non publiées],109043,33,1650,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,RIAD EL ASSALA,0,33,333,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,BEL OMBRE GESTION,3200,25,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SARL ASHIMARO,997,100,100,2019 : 0 €
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,BNP PARIBAS,68087,0,1925,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ESSILORLUXOTTICA,82260,0,720,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,LVMH,277645,0,711,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ORANGE,58856,0,5529,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SANOFI,104882,0,1157,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SOCIETE GENERALE,48159,0,3254,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,AIRBUS,1969,0,31,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ALPHABET,3745,0,3,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ALSTOM,3271,0,79,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ATOS,2125,0,28,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,AXA,229821,0,12348,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,BUREAU VERITAS,39720,0,2115,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,CREDIT AGRICOLE,211560,0,25102,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,DASSAULT SYSTEMES,206899,0,1347,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ESSILORLUXOTTICA,167605,0,1467,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,EUROFINS SCIENTIFIC,4469,0,8,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,IPSEN,2118,0,28,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,KERING,492482,0,1017,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,L OREAL,3428,0,12,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,LVMH,946963,0,2425,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,MICHELIN,2770,0,30,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,MICROSOFT,3192,0,18,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,NOVARTIS,3018,0,39,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,NOVO NORDISK,4031,0,70,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ORANGE,36204,0,3401,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,ORPEA,3087,0,30,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,PAYPAL,4964,0,33,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,PERNOD RICARD,2521,0,18,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SAFRAN,2320,0,26,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SANOFI,117301,0,1294,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SAP,4587,0,37,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCHNEIDER ELECTRIC,130324,0,1318,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SCOR SE REGPT,1855,0,76,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SEB,2942,0,20,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SHOWROOMPRIVE,15269,0,17921,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SOCIETE GENERALE,58682,0,3965,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,TELEPERFORMANCE,3163,0,14,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,WORLDLINE,1927,0,25,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,CGG RGPT,29652,0,30450,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,PLASTIQUE DU VAL DE LOIRE,57589,0,15481,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SALESFORCE.COM,3113,0,19,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SGIS,1609,0,3,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,SPIE,1769,0,133,0
01e889f4-7c43-4f0a-a8bc-863cf13205cf-20171221.xml,THERMO FISHER SCIENTIFIC,2821,0,9,0
01f7b9f1-c2f0-47ad-a734-6370600bd19e-20171221.xml,SCI          [Données non publiées],69300,99,119,Aucune
01f7b9f1-c2f0-47ad-a734-6370600bd19e-20171221.xml,SCI          [Données non publiées],600,50,1200,Aucune
01f7d03e-1adf-4bfd-92b8-148fd7e7e7cc-20171221.xml,OPTIMUS SARL,62356,33,33,62356
01fe44fd-7025-4ea2-a0b8-0523cd0bf411-20171221.xml,SELARL Yadan & Benghozi avocats,55000,50,100,0
01fe44fd-7025-4ea2-a0b8-0523cd0bf411-20171221.xml,YAD FAMILY,102465,99,99,0
01fe44fd-7025-4ea2-a0b8-0523cd0bf411-20171221.xml,SCI          [Données non publiées],200,33,20,0
0226f36d-ac50-42fb-a673-eee517bf91e9-20171221.xml,sci          [Données non publiées],253628,99,206,0
022b6cc7-b759-43bb-8932-a82072fe1c8e-20171221.xml,EURL          [Données non publiées],1000,100,100,0
022b6cc7-b759-43bb-8932-a82072fe1c8e-20171221.xml,SCI          [Données non publiées],14000,7,93,0
0257d6d9-15be-4ab5-9829-50eb4fe942ee-20171221.xml,SCI,155000,50,1000,0
0257d6d9-15be-4ab5-9829-50eb4fe942ee-20171221.xml,ITEVA SARL,10000,10,1000,0
0260af76-f46a-410b-bea9-265802f921be-20171221.xml,Microsoft,430000,,2197,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,SAS BREMOND,645066,73,700000,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,BREMOND PROMOTIONS,1010,0,300,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,SCI          [Données non publiées],15,10,10,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,SAS SEZAM,53,10,100,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,SAS LES OLIVIERS,1028,0,200,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,SAS LES OLIVIERS,35451,34,200,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,SCI          [Données non publiées],1,1,100,0
0295b354-6a2d-4dc4-a223-71dcb05f83dd-20171221.xml,SCI          [Données non publiées],500,50,100,0
02a52c7d-712c-4133-8606-860f69e45c3f-20171221.xml,SCI          [Données non publiées],6700,0,20,0
02b01a67-7d68-4451-8089-db23908609c6-20171221.xml,SAS Castillo Patrimoine,32000,26,200,0
02b01a67-7d68-4451-8089-db23908609c6-20171221.xml,SAS NISSORL,1053,23,200,103099
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Air Liquide,16436,,110,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Aliboma,2453,,65,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,Dassault systemes,9698,,200,0
02d11078-811c-4e87-b7a2-5187824300b5-20171221.xml,EDP renovaveis,3850,,175,0
