nom,declaration_count,total_wealth
BORRÉ,4,1000.0
BORRE,4,100000.0
albertini,4,0.0
LE DORVEN,4,2.0
PIANETTI,4,290739.0
chalopin,4,1038632.0
geil,4,0.0
PORTE,4,0.0
CHOLLET,4,0.0
galtier,4,0.0
Nordman,4,45848.0
Lavenka,4,1500.0
amselem,4,0.0
Slimani,4,200.0
BOURDOULEIX,4,1171242.0
CHERON,4,287144.0
BOUQUIN,4,0.0
PONCHON,4,0.0
PUEYO,4,0.0
BOURGEOIS,4,0.0
DUVAL,4,0.0
CHAZAL,4,743501.0
PRIOLLAUD,4,12068.0
Véricel,4,0.0
POMERET,4,10796968.0
DELAPORTE,4,0.0
DELATTRE,4,211050.0
LAFON,4,167100.0
Barraud,4,1530000.0
Bosetti,4,0.0
Boudy,4,1500.0
Barnier,4,0.0
Barnaud,4,0.0
BRIOIS,4,900.0
PAOLI,4,52396.0
Charlet,4,0.0
JOLY,4,112440.0
TOULLEC,4,40400.0
POUPINEAU,4,0.0
TREMEGE,4,10287284.0
de Mazières,4,0.0
Brosse,4,0.0
Leroy,4,2798392.0
Brouard-Gallet,4,0.0
Barles,4,200.0
Ouzilleau,4,569004.0
Lengereau,4,99640.0
Baudrier,4,0.0
DEGUERRY,4,0.0
LACROUTE,4,450.0
Belair,4,0.0
LAGRAVE,4,0.0
OLIVIER,4,0.0
Olive,4,0.0
Chassaubéné,4,201000.0
Nebbula,4,2000.0
POISSON,4,0.0
Chabane,4,0.0
Joissains,4,0.0
Chereau,4,0.0
Cassaro,4,0.0
DELAFOSSE,4,0.0
Boussard,4,260000.0
Bourcier,4,6063.0
LUCAS,4,0.0
VALLS,4,10000.0
COURTIAL,4,652944.0
PATRICE,4,0.0
DERVILLE,4,9240.0
COURTES,4,70989.0
LATTES,4,0.0
KEITA,4,0.0
JEAN-LOUIS,4,89400.0
CAILLET,4,300.0
LOUAP,4,80.0
VIDAL,4,592187.0
LOTTE,4,60.0
PASCREAU,4,0.0
LOISIER,4,0.0
LAVIOLETTE,4,0.0
VERGRIETE,4,0.0
LOQUET,4,215600.0
LABADENS,4,0.0
Philipps,4,0.0
CAPO-CANELLAS,4,0.0
Turpin,4,0.0
Luciano,4,0.0
de OLIVEIRA,4,0.0
PITON,4,240967.0
Baert,4,0.0
billault,4,139054.0
depallens,4,2000.0
DE MONTGOLFIER,4,5750512.0
Lhardit,4,36000.0
DELGA,4,60000.0
berger,4,0.0
DASTILLUNG,4,104899.0
DEPAQUY,4,0.0
JOSENDE,4,24000.0
JORDAN,4,0.0
VIALA,4,75200.0
Borie,4,0.0
Petit,4,104.0
VISKOVIC,4,0.0
DENOUES,4,192000.0
Pellevat,4,0.0
DE CALAN,4,2214000.0
DESROSES,4,0.0
JOSEPH,4,0.0
GARCIA,4,10000.0
ROBACHE,4,0.0
RAVIGNON,4,0.0
AUGIS,4,5766.0
GATIAN,4,0.0
ESTROSI,4,2000.0
BELLEC,4,0.0
BELLAMY,4,0.0
Guillou,4,796978.0
Guillotin,4,0.0
MONIER,4,4228.0
FARCY,4,0.0
ARENAS,4,700.0
SERRE,4,0.0
SERVANT,4,0.0
MILON,4,127500.0
GARZON,4,0.0
SCHMIDIGER,4,37971.0
MICHAUD,4,14599.0
Alexandre,4,536419.0
RENAUD,4,0.0
BATAILLE,4,3628545.0
MESQUIDA,4,0.0
Michel,4,0.0
melki,4,0.0
mejri,4,0.0
GUIHARD,4,0.0
ARLABOSSE,4,88360.0
Moncond'huy,4,0.0
kuchel,4,60000.0
kovacs,4,0.0
Richer,4,0.0
AMIOT,4,0.0
kollmannsberger,4,8138.0
kohly,4,0.0
SOURISSEAU,4,44994.0
lagarde,4,200954.0
Rigault,4,0.0
ARNOULD,4,0.0
Ribard,4,27761.0
rossi,4,0.0
Durovray,4,0.0
Rezgui,4,0.0
HAKNI-ROBIN,4,0.0
robo,4,0.0
ROS,4,0.0
ESPINOSA,4,0.0
EME,4,58648.0
GAUTIER,4,495.0
AUGEY,4,0.0
BENIER,4,0.0
GAUTHIER,4,0.0
MAUGUIEN-SICARD,4,1146.0
ETCHEGARAY,4,0.0
lecordier,4,1008.0
SALVADOR,4,677076.0
morel,4,124890.0
Goujon,4,3430.0
Gatel,4,138082.0
Fontimp,4,147528.0
MORIN-DESAILLY,4,49152.0
MOUILLER,4,1468.0
MINUTIELLO,4,0.0
BEAUDON,4,400.0
picard,4,0.0
MOTTE,4,110000.0
Arminjon,4,0.0
Ferracci,4,45344895.0
SEBEYRAN,4,2263166.0
Maillard,4,55665800.0
Furst,4,0.0
Faure,4,91521.0
FRANCOIS,4,1230.0
MORENO,4,0.0
Girard,4,47091.0
SADDIER,4,0.0
Gicquel,4,3700.0
Faucher,4,535000.0
RIGAUD,4,9803712.0
Armanet,4,1476316.0
BACHARD,4,0.0
ROBIN,4,0.0
BABOUHOT,4,1690200.0
FATH,4,0.0
FAUTRA,4,157500.0
FAVREAU,4,162096.0
Gaillard,4,0.0
FENET,4,0.0
Roussel,4,0.0
RIGAL,4,0.0
Mayer-Rossignol,4,0.0
RIETMANN,4,9800.0
BELLO,4,0.0
MUNCK,4,114284.0
FRISTOT,4,55533.0
Amrane,4,0.0
mignola,4,60100.0
Anceau,4,0.0
Rohfritsch,4,0.0
Rossignol Puech,4,0.0
Rousset,4,1912.0
BAPTISTE,4,126675.0
revillon,4,0.0
FOUGERAY,4,0.0
reynaud,4,0.0
FLEURY,4,426500.0
pustorino,4,806484.0
Rosner-Bloch,4,0.0
Fournié,4,2.0
LEFRAND,4,0.0
FROMANTIN,4,200000.0
MARSEILLE,4,324248.0
BOUARD,4,355000.0
GRANDJEAN,4,158009.0
BOUAD,4,0.0
Galtier,4,20000.0
GLEMOT,4,132892.0
BLATRIX CONTAT,4,0.0
ETHORÉ,4,0.0
AGHA BABAEI,4,0.0
GUYEN,4,0.0
Rampal,4,2810.0
HOARAU,4,0.0
HORNBECK,4,0.0
vautrin,4,667400.0
vigneau,4,0.0
GICQUEL,4,0.0
vidal,4,0.0
GUERET,4,208.0
Montaugé,4,0.0
MASSON,4,0.0
GHALI,4,200.0
MATHIEU,4,135108.0
GROUARD,4,0.0
ROUSSEAU,4,299049.0
Markowsky,4,401740.0
BONNEFONT,4,0.0
ROULEAU,4,0.0
Hamida,4,8622.0
Sillani,4,3116.0
Dati,4,270826.0
tukumuli,4,178638.0
HURMIC,4,1666000.0
Murgia,4,1600.0
Schlesinger,4,11869.0
AESCHLIMANN,4,6936.0
gomont,4,643372.0
Provost,4,32000.0
MARAULT,4,1138000.0
MARCHAND,4,400000.0
Semler-Collery,4,134986.0
Portes,4,0.0
Delaporte,4,0.0
GOUTH,4,4140.0
Delepierre,4,0.0
Marchive,4,0.0
STREHAIANO,4,0.0
MARECHAL,4,0.0
HIDRI,4,237500.0
SORET,4,568600.0
testard,4,10000.0
HINGRAY,4,12000.0
Dujols,4,28800.0
RAGE,4,0.0
jeandon,4,808496.0
Rivière,4,710199.0
Ramond,4,8523.0
Ramdane,4,570000.0
BERTELOODT,4,900.0
stassinos,4,1078566.0
BLANCHÉ,4,672000.0
Rebsamen,4,2000.0
SOMBSTHAY,4,0.0
Raynal,4,750.0
jardé,4,4659604.0
HEROUIN LEAUTEY,4,0.0
BERTHIER,4,40.0
PERSILLARD,3,0.0
Callet,3,3560000.0
RONCIERE,3,198184.0
PERROT,3,0.0
Calvat,3,65000.0
PIN,3,0.0
Vignot,3,0.0
Watrin,3,0.0
Fontaine,3,382500.0
GRAPPIN,3,291759.0
GOFFARD,3,0.0
GRENIER,3,0.0
GREMILLET,3,60224.0
VEZAT-BARONIA,3,0.0
VIAL,3,0.0
GREGOIRE,3,100000.0
GAZEL,3,0.0
POINTEREAU,3,4058316.0
Cabri,3,25500.0
VILA,3,4455.0
PIQUET,3,0.0
VILLECOURT,3,1000.0
VINCENT,3,0.0
ROTOLO,3,101500.0
PETIT-LASSAY,3,0.0
Fouillère,3,0.0
GRAND,3,273588.0
Viola,3,300.0
Faucheux,3,0.0
RUNEL,3,0.0
GUERRIAU,3,0.0
ROUX VIALE,3,0.0
Cauchetier,3,5546.0
POIRIER,3,251000.0
Charafe,3,73914.0
Rival,3,0.0
Cavecchi,3,0.0
Vincent,3,625134.0
ROMERO-MICHEL,3,10659.0
abreu goncalves,3,5618.0
Fabre,3,733212.0
Fargeot,3,330300.0
Ricou,3,6900.0
Chaize,3,432000.0
Venturini,3,120.0
CONCAS,3,1571000.0
Vercamer,3,113400.0
Chappaz,3,1274039.0
GODINEAU,3,0.0
RURUA,3,210000.0
Rabadan,3,900.0
Cayeux,3,37749612.0
Cauwel,3,245240.0
RODINGER,3,268584.0
CHARTIER,3,0.0
POLAT,3,14659.0
Richefou,3,845000.0
POITEVIN,3,0.0
Gautier de Breuvand,3,0.0
ROUGE,3,1618.0
Focks,3,1173.0
LATOUR,3,118790.0
GENOLHER,3,50916.0
LEONIE,3,0.0
GIRONCEL,3,655806.0
GUILLEM,3,0.0
GRIGNON,3,1650000.0
Cardon,3,0.0
PIERRE,3,1000000.0
Canette,3,0.0
GENRE,3,0.0
GENTIL,3,90717.0
GROS,3,665625.0
Campy,3,226380.0
Cassan,3,0.0
GAUMET,3,0.0
VERSTRAETE,3,375150.0
Valtat,3,0.0
Vacher,3,0.0
GAUDET,3,0.0
COURDIL,3,50.0
COSCAS,3,0.0
WOLFF,3,0.0
PIA,3,0.0
GALLARD,3,0.0
GAYMARD,3,0.0
GARAY,3,0.0
GANOZZI,3,0.0
GAUDUCHEAU,3,0.0
CLAVERIE,3,0.0
LE GRAND,3,250000.0
CORNEILLE,3,0.0
LE BORGNE,3,0.0
COSTA-FESENBECK,3,0.0
GONINET,3,0.0
Garcia,3,0.0
VIALATTE,3,12349874.0
LARCHER,3,611692.0
VERRI,3,0.0
Rassaert,3,60.0
LE LAN,3,400.0
Gadille,3,0.0
LEPETIT,3,0.0
LECORNU,3,0.0
LECOUFLE,3,1637721.0
GODET,3,0.0
ROSSIGNOL,3,0.0
PLOUVIER,3,0.0
PLISSONNEAU,3,600.0
Wieder,3,0.0
Reynaud,3,0.0
Gagliolo,3,202.0
Raynaud,3,265000.0
GERBAUD,3,0.0
LAPPARTIENT,3,3000.0
COUTHERUT,3,2300.0
Fromentin,3,0.0
LASSARADE,3,1173831.0
CHEMLA,3,0.0
COZ ELLEOUET,3,0.0
Galy,3,945000.0
PILET,3,0.0
LE LAY-FELZINE,3,0.0
LAMARRE,3,0.0
GACHET,3,0.0
CROCQ,3,0.0
GABORIT,3,15000.0
LAROCHE,3,0.0
SOULET,3,0.0
THURIOT,3,399935.0
RACHLINE,3,0.0
DESEILLE,3,172675.0
Pellerin,3,0.0
QUILLIEN,3,387.0
HERAUD,3,0.0
TEMARU,3,3262373.0
TENENBAUM,3,394837.0
SOLER,3,17276.0
TECHER,3,0.0
Thomas,3,0.0
HERBILLON,3,100800.0
HERE,3,0.0
SMOCK,3,0.0
Pierre,3,0.0
STEFFEN,3,1500.0
STANZIONE,3,52599.0
SUCK,3,638620.0
JACQUEMET,3,1685403.0
DEWIT VAN STYVENDAEL,3,77875.0
DHERSIN,3,0.0
JEANDEL-JEANPIERRE,3,0.0
HIRAUX,3,113800.0
DEVALLEE,3,132465.0
Guyot,3,0.0
Papadopulo,3,1150000.0
TRANCHECOSTE,3,0.0
TORTRAT,3,0.0
SILVANI,3,0.0
JIMENEZ,3,0.0
RAYMOND,3,214.0
TOUSSAY,3,0.0
RAYNAUD,3,374988.0
JOURDAIN,3,15789500.0
SERAPHIN,3,0.0
SOULIER,3,66808.0
DELL AGNOLA,3,160000.0
DELMARES,3,0.0
DELMOTTE,3,0.0
RAGUENEAU née OBRY,3,0.0
Duval,3,0.0
Quéro,3,0.0
TRAVAL,3,0.0
RABEH,3,0.0
Pfeiffer,3,0.0
Pezzetta,3,4024036.0
DES ESGAULX DE NOLET,3,1000.0
DENIAUD,3,5266.0
DELHAYE,3,9291.0
DUGOURD,3,855135.0
HUCHON,3,0.0
Pintat,3,0.0
STRAUMANN,3,24708.0
Pigné,3,0.0
Sabarot,3,0.0
HUGUES,3,0.0
Pozmentier,3,502600.0
Hugonet,3,2541057.0
Houssin,3,1000.0
Hottinger,3,0.0
Duprey,3,0.0
Soulard,3,12000.0
DUPUIS,3,0.0
IMBERT,3,3533084.0
Ingall-Montagnier,3,0.0
Pouzadoux,3,0.0
Salmon,3,1000.0
Sautarel,3,2282363.0
Daniel,3,136235.0
Danis,3,0.0
Henry,3,59865.0
Dauge,3,800.0
Haddad,3,0.0
Senée,3,0.0
Dromain,3,556838.0
Dufau,3,40.0
JOUBERT,3,0.0
DOLL,3,0.0
Hanotin,3,300.0
DRAPRON,3,0.0
Hartmann,3,335008.0
HUCHET,3,0.0
DREXLER,3,13860.0
DREYSSE,3,79000.0
Ittelet,3,0.0
Donati,3,0.0
DUFOUR,3,0.0
TEMAL,3,736842.0
Dombre Coste,3,0.0
Hénocque,3,0.0
TEAGAI,3,0.0
DURIN,3,25452.0
Deshayes,3,0.0
Dionis du Séjour,3,0.0
Suau,3,0.0
SUGUENOT,3,0.0
DUBOSC,3,0.0
Quilici,3,0.0
Poiret,3,0.0
IANNICELLI,3,0.0
Guyader,3,1111533.0
SANTINI,3,0.0
Guigue,3,68301.0
UTHURRY,3,0.0
SANQUER,3,45661.0
SAUVADE,3,0.0
VADOT,3,767.0
PONTALBA,3,0.0
SALMON,3,0.0
Chouit,3,0.0
SALLABERRY,3,0.0
Guyon,3,0.0
FORESTIER,3,562000.0
Coppey,3,360.0
SCHAAL,3,0.0
Grellier,3,10375.0
Gricourt,3,0.0
Thibault,3,0.0
Cotterlaz-Rannard,3,116632.0
FOUILLET,3,3920.0
KLOTZ,3,0.0
Kada,3,0.0
FICHERE,3,1869000.0
Grass,3,1440.0
SAMSOEN,3,0.0
LACROIX,3,0.0
Clain,3,0.0
VANDENDRIESSCHE,3,0.0
VANDERBISE,3,0.0
VARIERAS,3,0.0
LACOSTE,3,0.0
SADI,3,57750.0
SACCANI,3,159356.0
Giran,3,0.0
LABBE,3,0.0
LACOMBE,3,90000.0
FRANCO,3,6200.0
LABORDE,3,0.0
Chalus,3,0.0
Giraud,3,0.0
Chantrel,3,25000.0
Kervaon,3,0.0
Gibert,3,621.0
Gonzalvez,3,180000.0
Trupin,3,684119.0
Turbatte,3,9600.0
SAULES-LE BARS,3,0.0
Guitton,3,3000.0
FOURGOUS,3,0.0
SAMIN épse HOMAI,3,0.0
Girardot Moitié,3,1291500.0
SCOLAN,3,0.0
SEGUIN,3,454150.0
Pelanne,3,149000.0
DELOGU,3,0.0
DELPECH,3,500.0
SCHUH,3,0.0
SCHMITT,3,258032.0
Guarino,3,1500.0
SENE,3,0.0
SENANT,3,0.0
SEMERIL,3,0.0
RINGUET,3,1800.0
Guilloteau,3,96860.0
DEKENS,3,12400.0
Eudier,3,0.0
Guignard,3,0.0
TROCHIMARA,3,0.0
Esanou,3,0.0
RAIMBAULT,3,500.0
TOMEO,3,0.0
TONG SANG,3,0.0
EVRARD,3,0.0
Pahun,3,0.0
RAULT,3,0.0
SELLY,3,103500.0
RIO,3,0.0
RIOTTE,3,0.0
KLEIN,3,46207.0
RICHARD,3,0.0
Couvy,3,0.0
Cruypenninck,3,0.0
Cujives,3,0.0
PROFIL,3,0.0
PULVAR,3,0.0
DAMAS,3,0.0
FASQUELLE,3,15.0
Panetta,3,32000.0
Jombart,3,0.0
Theveniau,3,0.0
HAZOUARD,3,1200.0
SEGRETAIN,3,0.0
Teillet,3,0.0
TURAN,3,0.0
Juhel,3,0.0
TRYZNA,3,0.0
Joyandet,3,1948100.0
Taite,3,77750.0
DAYOT,3,0.0
DARY,3,100114.0
REMY,3,0.0
Theurier,3,0.0
Lechat,3,0.0
Mebarek,3,1023099.0
Lecerf,3,0.0
mandement,3,0.0
Lei,3,230.0
cridel zirovnik,3,0.0
Messina,3,0.0
BANQUET,3,0.0
MIRAVETE,3,18776500.0
MISSIOUX,3,948.0
Loas,3,2375.0
brun,3,0.0
de Carville,3,1056048.0
Meura,3,0.0
Bercault,3,2184000.0
Berdoati,3,24000.0
Bergé,3,1950.0
BAZIN,3,0.0
BAZILLE,3,1656000.0
BAYLE,3,0.0
Leboeuf,3,0.0
Leblanc,3,157809.0
OSMOND,3,200.0
Bertagnoli,3,90.0
nouhaud,3,20160.0
Bariseau,3,0.0
lejeune,3,8743.0
Baudon-Brulé,3,0.0
lombard,3,0.0
loher,3,0.0
MESLOT,3,99711.0
BASTIER,3,0.0
BAUDRY,3,0.0
Lepretre,3,26004.0
Michelet,3,130000.0
michel,3,1969032.0
Mazaury,3,0.0
Bertu,3,0.0
malavielle,3,0.0
Beaujaneau,3,2.0
Menhaouara,3,30000.0
Bax de Keating,3,0.0
Lemoine,3,1454087.0
Lejeune,3,0.0
Beauchef,3,0.0
mercier,3,0.0
de FLEURIAN,3,0.0
Leprêtre,3,0.0
BELOU,3,0.0
Bazinet,3,0.0
Annick,3,0.0
peysselon,3,0.0
Lahiani,3,441705.0
Masquelier,3,900000.0
Ladegaillerie,3,40.0
Lambert-Motte,3,0.0
Lake,3,60000.0
Ollier,3,0.0
Ouzoulias,3,0.0
castiglione,3,0.0
Marti,3,0.0
Berthet Cottarel,3,769617.0
canales,3,200.0
pechenard,3,661932.0
OZENNE,3,481500.0
Mathon,3,0.0
LOUVRIER,3,34500.0
MULLER-BRONN,3,339954.0
LOUIS,3,0.0
Bournat,3,372000.0
Amar,3,1771000.0
borie,3,0.0
PARRAIN,3,0.0
bouchez,3,0.0
cavanna,3,510000.0
Bianco,3,0.0
Bidard,3,6300.0
BAILLEUL,3,0.0
OMARJEE,3,0.0
Bill,3,0.0
Billet,3,0.0
BACCI,3,3666.0
BAGNERIS,3,0.0
BADUFLE-DOUCHEZ,3,0.0
BADIN,3,340400.0
MORANCHO CROQUETTE,3,350000.0
Bilirit,3,0.0
Appere,3,0.0
BAREIGTS,3,0.0
BARREILLE,3,0.0
Ngatcha,3,0.0
MORIZIO,3,0.0
MORTON,3,0.0
cherriere,3,1944.0
Aubry,3,0.0
portet,3,0.0
Medevielle,3,352000.0
chibli,3,0.0
Mellier,3,34832.0
Laurent,3,0.0
dallemagne,3,0.0
labarthe,3,249585.0
MARTINS,3,13644.0
BIr,3,0.0
BITZ,3,0.0
khalifé,3,628950.0
MATEILLE,3,0.0
gauthier,3,15400.0
BIHL,3,10000.0
BIENVENU,3,20.0
imbert,3,15000.0
fond,3,0.0
MICHAU,3,38907.0
joly,3,144207.0
BERTHOUD,3,0.0
fontaine,3,26372.0
Monnet,3,118898.0
Mohamed Soilihi,3,390000.0
Moisy de Cala,3,0.0
Minard,3,813400.0
Méary,3,3584166.0
BERTAUD,3,0.0
