nom,people_count,male,female,min_age,max_age,avg_age
TOUZEAU,5,5,0,71.0,74.0,72.8
de Lasteyrie,5,5,0,36.0,39.0,36.8
Darnaud,5,5,0,45.0,49.0,47.0
HAQUIN,5,5,0,49.0,52.0,50.4
DEMARTHE,5,5,0,60.0,61.0,60.6
Hervochon,5,5,0,54.0,55.0,54.4
DENIS,5,5,0,48.0,59.0,51.8
Michaud,5,3,2,39.0,40.0,39.6
REAULT,5,5,0,53.0,54.0,53.6
PIGNIER,5,0,5,54.0,55.0,54.4
COSTE,5,3,2,43.0,52.0,48.6
Robinet,5,4,1,40.0,47.0,44.6
ATCHAPA,5,5,0,49.0,51.0,50.2
LAVIT,5,5,0,59.0,60.0,59.6
ALLOTO,5,5,0,31.0,33.0,32.6
LOMBERTIE,5,5,0,69.0,70.0,69.6
LAPORTE,5,3,2,45.0,75.0,54.6
BÉNISTI,5,5,0,68.0,69.0,68.8
Rousseau,5,2,3,48.0,67.0,59.4
MOUNIER,5,5,0,52.0,63.0,56.2
Foveau,5,5,0,30.0,34.0,32.0
BARSEGHIAN,5,0,5,39.0,40.0,39.8
Martinez,5,4,1,39.0,66.0,52.8
PLENET,5,4,1,42.0,55.0,47.6
Robert,5,1,4,54.0,60.0,57.0
Matet,5,5,0,69.0,74.0,71.4
Gastinne,5,5,0,53.0,56.0,53.8
LOZACH,5,5,0,66.0,70.0,68.2
POLLET,5,3,2,44.0,56.0,48.8
RISSER,5,5,0,66.0,68.0,66.8
Bourel de La Roncière,5,5,0,53.0,56.0,54.0
MOREL,5,4,1,49.0,58.0,52.8
LAGOURGUE,5,5,0,45.0,47.0,46.6
LAGEDAMONT,5,5,0,66.0,66.0,66.0
Amiel,5,3,2,31.0,67.0,42.0
Marchau,5,5,0,69.0,70.0,69.6
LEGENDRE,5,5,0,71.0,74.0,72.8
ROULLE,5,0,5,50.0,53.0,52.2
WOLBER,5,0,5,40.0,42.0,40.6
LECLERC,5,5,0,41.0,54.0,46.8
GODIN,5,0,5,63.0,66.0,64.0
LECA,5,5,0,35.0,38.0,37.2
LEBRETON,5,5,0,56.0,59.0,57.8
CHITO,5,5,0,75.0,76.0,75.4
CHABAUD,5,0,5,56.0,59.0,57.0
CHAMBON,5,4,1,37.0,69.0,46.0
ALEMAGNA,5,5,0,62.0,64.0,63.4
LIBERT-ALBANEL,5,0,5,44.0,49.0,46.8
vernin,5,5,0,58.0,62.0,59.8
ROUSSET,5,5,0,70.0,72.0,70.8
PASTOR,5,5,0,46.0,54.0,52.0
LE DISSES,5,5,0,65.0,67.0,66.0
CLODONG,5,5,0,51.0,54.0,51.8
Vidal,5,3,2,37.0,58.0,50.2
PICHERY,5,2,3,54.0,69.0,60.4
PICARD,5,5,0,57.0,66.0,61.4
Vial,5,5,0,42.0,46.0,43.6
PEYLACHON,5,5,0,57.0,59.0,57.8
ANDRE,5,3,2,49.0,66.0,58.0
robin,5,0,5,47.0,63.0,54.0
WANSCHOOR,5,5,0,59.0,60.0,59.6
BAGUET,5,5,0,65.0,66.0,65.4
chapuis,5,5,0,65.0,70.0,67.2
cornillet,5,5,0,36.0,40.0,37.0
PORTELLI,5,0,5,42.0,43.0,42.6
Mercier,5,1,4,58.0,64.0,61.8
Bouche,5,5,0,46.0,50.0,47.4
milon,5,0,5,74.0,76.0,75.2
LAGARDE,5,2,3,44.0,66.0,52.8
Bonnet,5,5,0,43.0,47.0,45.0
BALAND,5,5,0,70.0,71.0,70.4
ROBERT,5,4,1,46.0,72.0,57.2
Chriqui,5,5,0,48.0,50.0,49.0
ROUSSEL,5,4,1,43.0,77.0,66.0
Thoraval,5,0,5,54.0,56.0,54.8
cefis,5,0,5,56.0,58.0,56.8
Guiraud,5,5,0,31.0,65.0,50.8
barsacq,4,0,4,51.0,51.0,51.0
NARDIN,4,4,0,59.0,62.0,60.5
Cuillandre,4,4,0,65.0,68.0,66.0
IMBS,4,0,4,60.0,61.0,60.75
Bouty,4,4,0,53.0,54.0,53.25
beauchamps,4,4,0,58.0,60.0,59.5
PFEFFER,4,4,0,34.0,42.0,39.25
M'DOIHOMA,4,0,4,36.0,36.0,36.0
LUTZ,4,0,4,61.0,66.0,63.5
gagnoux,4,4,0,35.0,36.0,35.75
COCHET,4,4,0,61.0,65.0,63.5
Cristiani,4,4,0,68.0,71.0,69.25
CASIMIRIUS,4,0,4,67.0,69.0,68.0
Bertin,4,3,1,26.0,62.0,52.5
VON EUW,4,0,4,45.0,46.0,45.5
DI CARO,4,0,4,69.0,70.0,69.75
CARROZ,4,4,0,44.0,46.0,45.25
Luya,4,4,0,45.0,48.0,46.25
CORDIER,4,1,3,67.0,75.0,72.25
Juven,4,4,0,34.0,36.0,35.25
L'Hour,4,0,4,51.0,54.0,52.5
DARDELET,4,4,0,61.0,64.0,62.25
CORBIERE,4,2,2,43.0,56.0,49.5
dissaux,4,4,0,77.0,79.0,78.0
BRANCOUR,4,4,0,46.0,50.0,47.25
LEVADE,4,0,4,50.0,54.0,51.25
COQUELIN,4,4,0,64.0,67.0,65.25
NICOLIN,4,4,0,57.0,58.0,57.25
condomitti,4,4,0,45.0,49.0,46.75
Boux,4,0,4,33.0,37.0,35.0
TANGUY,4,2,2,38.0,57.0,50.0
apparu,4,4,0,50.0,55.0,52.25
DORGUEILLE,4,0,4,74.0,75.0,74.5
CAROLO LUTROT,4,0,4,47.0,49.0,48.25
bedreddine,4,4,0,49.0,52.0,50.5
Le Foll,4,4,0,60.0,60.0,60.0
Hoareau,4,4,0,48.0,49.0,48.5
Hingrez-Céréda,4,0,4,51.0,53.0,52.0
Werner,4,4,0,57.0,60.0,58.5
Darmanin,4,4,0,42.0,42.0,42.0
KERNEIS,4,2,2,42.0,49.0,46.0
LECOCQ,4,0,4,47.0,47.0,47.0
WILLIAM,4,4,0,39.0,47.0,42.25
Weil,4,4,0,32.0,34.0,33.0
WILLER,4,0,4,51.0,53.0,51.75
Dambach,4,0,4,61.0,62.0,61.5
CHARROUX,4,4,0,78.0,78.0,78.0
ISIDORE,4,0,4,72.0,73.0,72.75
CHARRIER,4,4,0,61.0,66.0,64.5
CHAUVET,4,4,0,62.0,67.0,64.0
CHAUVELOT-DUBAN,4,0,4,57.0,61.0,58.5
OLIVE,4,4,0,55.0,84.0,69.0
Thévenot,4,4,0,54.0,57.0,55.0
BORRÉ,4,4,0,35.0,36.0,35.25
BORRE,4,0,4,47.0,50.0,48.0
albertini,4,4,0,64.0,67.0,65.25
LE DORVEN,4,4,0,43.0,45.0,44.0
PIANETTI,4,4,0,79.0,80.0,79.75
chalopin,4,4,0,57.0,58.0,57.75
geil,4,0,4,60.0,62.0,61.0
PORTE,4,0,4,50.0,52.0,51.25
CHOLLET,4,4,0,47.0,66.0,58.25
galtier,4,4,0,29.0,32.0,30.75
Nordman,4,4,0,49.0,50.0,49.75
Lavenka,4,4,0,49.0,51.0,49.75
amselem,4,0,4,68.0,72.0,70.5
Slimani,4,0,4,31.0,45.0,41.5
BOURDOULEIX,4,4,0,60.0,60.0,60.0
CHERON,4,4,0,42.0,44.0,43.0
BOUQUIN,4,0,4,32.0,59.0,45.5
PONCHON,4,2,2,61.0,66.0,63.5
PUEYO,4,4,0,70.0,71.0,70.25
BOURGEOIS,4,2,2,45.0,75.0,57.25
DUVAL,4,3,1,38.0,55.0,50.5
CHAZAL,4,3,1,37.0,56.0,42.0
PRIOLLAUD,4,4,0,45.0,48.0,46.75
Véricel,4,4,0,66.0,69.0,66.75
POMERET,4,4,0,63.0,66.0,64.5
DELAPORTE,4,4,0,68.0,70.0,69.0
DELATTRE,4,2,2,50.0,64.0,56.5
LAFON,4,4,0,57.0,65.0,61.0
Barraud,4,4,0,54.0,56.0,54.75
Bosetti,4,4,0,40.0,44.0,42.5
Boudy,4,4,0,56.0,59.0,57.0
Barnier,4,2,2,50.0,62.0,55.75
Barnaud,4,4,0,60.0,62.0,61.0
BRIOIS,4,4,0,47.0,68.0,58.5
PAOLI,4,4,0,76.0,76.0,76.0
Charlet,4,4,0,41.0,42.0,41.75
JOLY,4,4,0,66.0,67.0,66.25
TOULLEC,4,4,0,66.0,67.0,66.75
POUPINEAU,4,0,4,66.0,67.0,66.5
TREMEGE,4,4,0,75.0,76.0,75.75
de Mazières,4,4,0,60.0,60.0,60.0
Brosse,4,2,2,34.0,65.0,49.0
Leroy,4,4,0,54.0,63.0,58.25
Brouard-Gallet,4,0,4,65.0,65.0,65.0
Barles,4,4,0,46.0,50.0,48.0
Ouzilleau,4,4,0,35.0,36.0,35.75
Lengereau,4,4,0,54.0,57.0,55.75
Baudrier,4,4,0,54.0,57.0,55.0
DEGUERRY,4,4,0,57.0,59.0,58.0
LACROUTE,4,0,4,55.0,57.0,55.5
Belair,4,0,4,28.0,31.0,29.5
LAGRAVE,4,4,0,53.0,56.0,54.5
OLIVIER,4,3,1,39.0,44.0,42.0
Olive,4,4,0,58.0,60.0,58.75
Chassaubéné,4,4,0,35.0,36.0,35.5
Nebbula,4,0,4,31.0,32.0,31.5
POISSON,4,4,0,57.0,59.0,58.25
Chabane,4,4,0,29.0,31.0,30.0
Joissains,4,0,4,51.0,52.0,51.5
Chereau,4,4,0,49.0,52.0,50.25
Cassaro,4,4,0,31.0,34.0,32.5
DELAFOSSE,4,3,1,43.0,43.0,43.0
Boussard,4,4,0,57.0,59.0,58.25
Bourcier,4,1,3,54.0,55.0,54.25
LUCAS,4,2,2,33.0,57.0,45.0
VALLS,4,4,0,62.0,62.0,62.0
COURTIAL,4,4,0,50.0,51.0,50.25
PATRICE,4,0,4,57.0,58.0,57.25
DERVILLE,4,0,4,38.0,41.0,39.25
COURTES,4,4,0,75.0,75.0,75.0
LATTES,4,4,0,60.0,60.0,60.0
KEITA,4,0,4,50.0,50.0,50.0
JEAN-LOUIS,4,4,0,62.0,63.0,62.75
CAILLET,4,4,0,62.0,63.0,62.5
LOUAP,4,4,0,47.0,49.0,48.25
VIDAL,4,4,0,45.0,71.0,63.75
LOTTE,4,4,0,59.0,61.0,59.75
PASCREAU,4,4,0,57.0,59.0,58.0
LOISIER,4,0,4,51.0,54.0,52.5
LAVIOLETTE,4,4,0,73.0,74.0,73.75
VERGRIETE,4,4,0,52.0,56.0,55.0
LOQUET,4,4,0,55.0,56.0,55.75
LABADENS,4,2,2,56.0,69.0,63.0
Philipps,4,4,0,29.0,32.0,31.0
CAPO-CANELLAS,4,4,0,56.0,57.0,56.25
Turpin,4,0,4,59.0,61.0,60.0
Luciano,4,4,0,39.0,42.0,40.75
de OLIVEIRA,4,4,0,33.0,37.0,35.0
PITON,4,4,0,65.0,67.0,66.0
Baert,4,4,0,60.0,63.0,61.25
billault,4,4,0,65.0,65.0,65.0
depallens,4,0,4,57.0,60.0,58.5
DE MONTGOLFIER,4,4,0,56.0,60.0,57.75
Lhardit,4,4,0,57.0,61.0,59.25
DELGA,4,0,4,50.0,52.0,50.75
berger,4,4,0,59.0,78.0,73.25
DASTILLUNG,4,4,0,68.0,72.0,69.0
DEPAQUY,4,0,4,46.0,50.0,49.0
JOSENDE,4,0,4,46.0,47.0,46.5
JORDAN,4,4,0,57.0,60.0,58.0
VIALA,4,4,0,46.0,49.0,47.5
Borie,4,4,0,62.0,64.0,62.75
Petit,4,1,3,51.0,60.0,55.75
VISKOVIC,4,4,0,40.0,41.0,40.75
DENOUES,4,0,4,37.0,38.0,37.75
Pellevat,4,4,0,39.0,42.0,40.75
DE CALAN,4,4,0,41.0,43.0,42.0
DESROSES,4,0,4,48.0,52.0,50.25
JOSEPH,4,1,3,58.0,75.0,63.75
GARCIA,4,4,0,45.0,70.0,52.5
ROBACHE,4,4,0,54.0,55.0,54.25
RAVIGNON,4,4,0,44.0,48.0,46.0
AUGIS,4,4,0,46.0,49.0,47.75
GATIAN,4,0,4,37.0,38.0,37.25
ESTROSI,4,4,0,65.0,68.0,66.0
BELLEC,4,2,2,43.0,49.0,46.0
BELLAMY,4,0,4,57.0,59.0,58.0
Guillou,4,4,0,31.0,34.0,32.25
Guillotin,4,0,4,60.0,61.0,60.75
MONIER,4,0,4,61.0,62.0,61.75
FARCY,4,0,4,61.0,62.0,61.5
ARENAS,4,1,3,50.0,67.0,61.75
SERRE,4,1,3,51.0,65.0,56.0
SERVANT,4,4,0,54.0,55.0,54.75
MILON,4,4,0,73.0,76.0,74.25
GARZON,4,4,0,46.0,49.0,47.75
SCHMIDIGER,4,0,4,58.0,61.0,59.25
MICHAUD,4,3,1,59.0,69.0,65.0
Alexandre,4,4,0,51.0,78.0,63.25
RENAUD,4,1,3,28.0,70.0,57.5
BATAILLE,4,4,0,58.0,61.0,59.5
MESQUIDA,4,4,0,76.0,76.0,76.0
Michel,4,3,1,45.0,61.0,56.25
melki,4,4,0,41.0,42.0,41.5
mejri,4,0,4,59.0,61.0,59.75
GUIHARD,4,4,0,50.0,52.0,51.0
ARLABOSSE,4,0,4,58.0,61.0,59.75
Moncond'huy,4,0,4,30.0,31.0,30.75
kuchel,4,0,4,40.0,41.0,40.75
kovacs,4,4,0,51.0,52.0,51.5
Richer,4,0,4,57.0,60.0,58.25
AMIOT,4,0,4,38.0,45.0,41.0
kollmannsberger,4,0,4,70.0,72.0,71.0
kohly,4,0,4,60.0,62.0,61.25
SOURISSEAU,4,4,0,46.0,60.0,49.75
lagarde,4,0,4,44.0,74.0,58.75
Rigault,4,0,4,34.0,37.0,35.5
ARNOULD,4,0,4,60.0,61.0,60.5
Ribard,4,0,4,58.0,63.0,60.5
rossi,4,4,0,63.0,66.0,64.5
Durovray,4,4,0,49.0,53.0,50.5
Rezgui,4,0,4,45.0,46.0,45.75
HAKNI-ROBIN,4,0,4,48.0,49.0,48.25
robo,4,4,0,50.0,50.0,50.0
ROS,4,4,0,51.0,53.0,52.5
ESPINOSA,4,1,3,59.0,62.0,60.25
EME,4,0,4,55.0,57.0,55.5
GAUTIER,4,4,0,43.0,57.0,53.0
AUGEY,4,0,4,64.0,68.0,65.5
BENIER,4,4,0,62.0,63.0,62.5
GAUTHIER,4,2,2,34.0,47.0,40.25
MAUGUIEN-SICARD,4,0,4,52.0,53.0,52.5
ETCHEGARAY,4,4,0,68.0,69.0,68.5
lecordier,4,0,4,57.0,59.0,58.0
SALVADOR,4,4,0,69.0,71.0,69.75
morel,4,4,0,53.0,64.0,58.25
Goujon,4,1,3,37.0,73.0,46.25
Gatel,4,0,4,71.0,72.0,71.5
Fontimp,4,0,4,39.0,39.0,39.0
MORIN-DESAILLY,4,0,4,60.0,64.0,62.0
MOUILLER,4,4,0,51.0,54.0,52.0
MINUTIELLO,4,4,0,44.0,48.0,45.75
BEAUDON,4,0,4,42.0,45.0,43.25
picard,4,0,4,53.0,70.0,60.75
MOTTE,4,2,2,58.0,60.0,59.0
Arminjon,4,4,0,53.0,54.0,53.25
Ferracci,4,4,0,47.0,47.0,47.0
SEBEYRAN,4,4,0,67.0,70.0,68.5
Maillard,4,2,2,29.0,50.0,39.75
Furst,4,4,0,55.0,57.0,56.0
Faure,4,3,1,54.0,71.0,58.25
FRANCOIS,4,4,0,61.0,64.0,62.5
MORENO,4,4,0,36.0,74.0,55.25
Girard,4,3,1,45.0,72.0,54.75
SADDIER,4,4,0,51.0,52.0,51.75
Gicquel,4,1,3,32.0,63.0,40.5
Faucher,4,4,0,50.0,51.0,50.25
RIGAUD,4,4,0,50.0,53.0,52.0
Armanet,4,4,0,56.0,59.0,58.25
BACHARD,4,4,0,34.0,35.0,34.5
ROBIN,4,4,0,45.0,60.0,52.5
BABOUHOT,4,0,4,50.0,55.0,51.75
FATH,4,4,0,64.0,67.0,65.25
FAUTRA,4,0,4,55.0,58.0,55.75
FAVREAU,4,4,0,46.0,72.0,59.0
Gaillard,4,4,0,41.0,56.0,48.0
FENET,4,4,0,67.0,68.0,67.5
Roussel,4,2,2,47.0,51.0,49.0
RIGAL,4,2,2,64.0,69.0,66.25
Mayer-Rossignol,4,4,0,43.0,44.0,43.5
RIETMANN,4,4,0,48.0,53.0,50.0
BELLO,4,0,4,70.0,71.0,70.5
MUNCK,4,4,0,66.0,68.0,67.5
FRISTOT,4,4,0,53.0,56.0,54.5
Amrane,4,4,0,43.0,43.0,43.0
mignola,4,4,0,53.0,53.0,53.0
Anceau,4,4,0,59.0,62.0,60.75
