uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Sanofi,2859,,30.0,,106,SANOFI
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,worldline,567,,54.0,,0,WORLDLINE
392756b2-62de-4f90-b133-e80e12dfc8c8,AIRBUS,5094,,33.0,"
        [Données non publiées]
    ",92,AIRBUS
392756b2-62de-4f90-b133-e80e12dfc8c8,BNP PARIBAS,5520,,94.0,"
        [Données non publiées]
    ",449,BNP PARIBAS
392756b2-62de-4f90-b133-e80e12dfc8c8,DASSAULT SYSTEMES,2042,,62.0,"
        [Données non publiées]
    ",15,DASSAULT SYSTEMES
392756b2-62de-4f90-b133-e80e12dfc8c8,ESSILORLUXOTTICA,4878,,21.0,"
        [Données non publiées]
    ",81,ESSILORLUXOTTICA
392756b2-62de-4f90-b133-e80e12dfc8c8,ORANGE,2335,,209.0,"
        [Données non publiées]
    ",63,ORANGE
392756b2-62de-4f90-b133-e80e12dfc8c8,PERNOD RICARD,1189,,11.0,"
        [Données non publiées]
    ",50,PERNOD RICARD
392756b2-62de-4f90-b133-e80e12dfc8c8,SCHNEIDER ELECTRIC,4309,,18.0,"
        [Données non publiées]
    ",67,SCHNEIDER ELECTRIC
392756b2-62de-4f90-b133-e80e12dfc8c8,SOCIETE GENERALE,1948,,82.0,"
        [Données non publiées]
    ",139,SOCIETE GENERALE
392756b2-62de-4f90-b133-e80e12dfc8c8,THALES,4125,,30.0,"
        [Données non publiées]
    ",102,THALES
392756b2-62de-4f90-b133-e80e12dfc8c8,TOTALENERGIES,5154,,98.0,"
        [Données non publiées]
    ",334,TOTALENERGIES
392756b2-62de-4f90-b133-e80e12dfc8c8,AIR LIQUIDE,4329,,28.0,"
        [Données non publiées]
    ",81,AIR LIQUIDE
392756b2-62de-4f90-b133-e80e12dfc8c8,SANOFI,1583,,17.0,"
        [Données non publiées]
    ",65,SANOFI
9b665054-c136-4d4e-b20a-abbc93458d77,ENGIE,778,,8.0,performance négative,0,ENGIE
d950a828-d7ac-4afa-8f7c-0b99f557db8d,engie,1303,,101.0,,0,ENGIE
d950a828-d7ac-4afa-8f7c-0b99f557db8d,Safran,10549,,99.0,,0,SAFRAN
d950a828-d7ac-4afa-8f7c-0b99f557db8d,orange,902,,96.0,,0,ORANGE
4d7232b0-5690-4ef4-a9c9-acbc447cd0aa,Air liquide,8361,,52.0,,/,AIR LIQUIDE
4d7232b0-5690-4ef4-a9c9-acbc447cd0aa,SANOFI,3681,,40.0,,/,SANOFI
4d7232b0-5690-4ef4-a9c9-acbc447cd0aa,Schneider electric,4502,,20.0,,/,SCHNEIDER ELECTRIC
4d7232b0-5690-4ef4-a9c9-acbc447cd0aa,Vivendi,7450,,745.0,,/,VIVENDI
4d7232b0-5690-4ef4-a9c9-acbc447cd0aa,Engie,2115,,150.0,,/,ENGIE
4d7232b0-5690-4ef4-a9c9-acbc447cd0aa,Airbus,4878,,37.0,,/,AIRBUS
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,ALSTOM,255,,6.0,,0,ALSTOM
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,AXA,1309,,83.0,,0,AXA
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,CARREFOUR,819,,60.0,,0,CARREFOUR
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,DANONE,220,,4.0,,0,DANONE
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,LVMH,1997,,5.0,,0,LVMH
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,VINCI,9583,,134.0,,0,VINCI
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,ENGIE,1716,,156.0,30.06.2020,0,ENGIE
b1c626b1-184d-4d06-b5ea-faf5d51b1a34,CREDIT AGRICOLE,876,,104.0,30.06.202,0,CREDIT AGRICOLE
d8e51410-28f2-4975-9a67-562c832e53f0,VEOLIA SA,41820,,1500.0,actions détenues dans le cadre d'un PEA,Dividendes perçus 2020 : 750 euros,VEOLIA
d8e51410-28f2-4975-9a67-562c832e53f0,AXA SA,22805,,1000.0,actions détenues dans le cadre d'un PEA,Dividendes perçus 2020 : 365 euros,AXA
d8e51410-28f2-4975-9a67-562c832e53f0,CREDIT AGRICOLE SA,6272,,535.0,actions détenues dans le cadre d'un PEA,0,CREDIT AGRICOLE
92de272e-462a-4ed9-8c8f-2d1bc5fd429b,Renault,603,,25.0,Actions détenues sur un compte-titre,"Aucune, détenues depuis avril 2020",RENAULT
92de272e-462a-4ed9-8c8f-2d1bc5fd429b,Airbus,357,,5.0,Actions détenues sur un compte-titre,"Aucune, détenues depuis avril 2020",AIRBUS
92de272e-462a-4ed9-8c8f-2d1bc5fd429b,Unibail-Rodamco-Westfield,202,,5.0,Actions détenues sur un compte-titre,"Aucune, détenues depuis avril 2020",UNIBAIL RODAMCO WESTFIELD
96be8a8c-7c8a-4d57-bcdb-8221adf170d3,ENGIE,0,,30.0,2019,9,ENGIE
5662e3c9-1aa7-40c9-9830-ffb404aaac8e,CREDIT AGRICOLE,4500,,3000.0,,50.41 €,CREDIT AGRICOLE
5f683397-da93-482b-b93b-40176bfc6d8a,CREDIT AGRICOLE,16678,,1354.0,,0,CREDIT AGRICOLE
5f683397-da93-482b-b93b-40176bfc6d8a,AXA,12000,,500.0,,0,AXA
5f683397-da93-482b-b93b-40176bfc6d8a,CREDIT AGRICOLE,12000,,1000.0,,0,CREDIT AGRICOLE
5f683397-da93-482b-b93b-40176bfc6d8a,VINCI,15000,,170.0,,0,VINCI
0e75e8a2-b343-4416-bc55-753ff0978707,Safran,14700,,178.0,,0,SAFRAN
0e75e8a2-b343-4416-bc55-753ff0978707,Thales,53700,,790.0,,0,THALES
